c_id,a_id,d_km,ovl_s,ovl_f,gap_s,c_gain_m,c_rate,a_gain_m,a_rate,mode
12,17,0.0,27.0,1.0,0.0,64.0,2.37,232.0,3.68,strict
21,29,0.092,240.0,1.0,0.0,458.0,1.91,641.0,2.18,strict
3,4,0.094,168.0,0.949,0.0,369.0,2.08,444.0,2.28,strict
22,30,0.125,303.0,0.783,0.0,938.0,2.23,965.0,2.49,strict
6,9,0.148,195.0,1.0,0.0,751.0,3.17,733.0,3.76,strict
19,28,0.205,465.0,0.896,0.0,916.0,1.76,991.0,1.89,strict
8,11,0.221,54.0,0.439,0.0,192.0,1.42,311.0,2.53,strict
14,19,0.225,135.0,1.0,0.0,396.0,2.93,629.0,3.08,strict
7,10,0.243,66.0,1.0,0.0,144.0,2.18,605.0,2.62,strict
16,21,0.264,147.0,0.961,0.0,452.0,2.95,730.0,3.58,strict
5,7,0.303,39.0,1.0,0.0,132.0,3.38,566.0,3.7,strict
9,14,0.306,189.0,0.829,0.0,562.0,2.46,884.0,3.13,strict
13,18,0.326,51.0,1.0,0.0,204.0,4.0,332.0,2.99,strict
4,6,0.366,261.0,0.989,0.0,654.0,2.25,663.0,2.51,strict
10,15,0.371,72.0,0.585,0.0,286.0,2.33,717.0,3.41,strict
24,32,0.411,885.0,0.993,0.0,1096.0,1.23,1215.0,1.31,strict
11,16,0.423,87.0,1.0,0.0,362.0,4.16,771.0,3.72,strict
17,23,0.434,54.0,1.0,0.0,180.0,3.33,775.0,3.4,strict
2,3,0.45,93.0,0.969,0.0,259.0,2.7,439.0,2.48,strict
15,20,0.46,45.0,1.0,0.0,116.0,2.58,359.0,2.99,strict
23,31,0.495,213.0,0.986,0.0,495.0,2.29,709.0,2.6,strict
18,26,0.688,183.0,0.871,0.0,458.0,2.18,858.0,2.7,strict
1,2,0.715,402.0,0.817,0.0,999.0,1.89,1003.0,2.04,strict
12,17,0.0,27.0,1.0,0.0,64.0,2.37,232.0,3.68,many2one
21,29,0.092,240.0,1.0,0.0,458.0,1.91,641.0,2.18,many2one
3,4,0.094,168.0,0.949,0.0,369.0,2.08,444.0,2.28,many2one
22,30,0.125,303.0,0.783,0.0,938.0,2.23,965.0,2.49,many2one
6,9,0.148,195.0,1.0,0.0,751.0,3.17,733.0,3.76,many2one
19,28,0.205,465.0,0.896,0.0,916.0,1.76,991.0,1.89,many2one
8,11,0.221,54.0,0.439,0.0,192.0,1.42,311.0,2.53,many2one
14,19,0.225,135.0,1.0,0.0,396.0,2.93,629.0,3.08,many2one
7,10,0.243,66.0,1.0,0.0,144.0,2.18,605.0,2.62,many2one
16,21,0.264,147.0,0.961,0.0,452.0,2.95,730.0,3.58,many2one
5,7,0.303,39.0,1.0,0.0,132.0,3.38,566.0,3.7,many2one
9,14,0.306,189.0,0.829,0.0,562.0,2.46,884.0,3.13,many2one
13,18,0.326,51.0,1.0,0.0,204.0,4.0,332.0,2.99,many2one
4,6,0.366,261.0,0.989,0.0,654.0,2.25,663.0,2.51,many2one
10,15,0.371,72.0,0.585,0.0,286.0,2.33,717.0,3.41,many2one
24,32,0.411,885.0,0.993,0.0,1096.0,1.23,1215.0,1.31,many2one
11,16,0.423,87.0,1.0,0.0,362.0,4.16,771.0,3.72,many2one
17,23,0.434,54.0,1.0,0.0,180.0,3.33,775.0,3.4,many2one
2,3,0.45,93.0,0.969,0.0,259.0,2.7,439.0,2.48,many2one
15,20,0.46,45.0,1.0,0.0,116.0,2.58,359.0,2.99,many2one
23,31,0.495,213.0,0.986,0.0,495.0,2.29,709.0,2.6,many2one
18,26,0.688,183.0,0.871,0.0,458.0,2.18,858.0,2.7,many2one
1,2,0.715,402.0,0.817,0.0,999.0,1.89,1003.0,2.04,many2one
12,17,0.0,27.0,1.0,0.0,64.0,2.37,232.0,3.68,alt2many
21,29,0.092,240.0,1.0,0.0,458.0,1.91,641.0,2.18,alt2many
3,4,0.094,168.0,0.949,0.0,369.0,2.08,444.0,2.28,alt2many
22,30,0.125,303.0,0.783,0.0,938.0,2.23,965.0,2.49,alt2many
6,9,0.148,195.0,1.0,0.0,751.0,3.17,733.0,3.76,alt2many
19,28,0.205,465.0,0.896,0.0,916.0,1.76,991.0,1.89,alt2many
8,11,0.221,54.0,0.439,0.0,192.0,1.42,311.0,2.53,alt2many
14,19,0.225,135.0,1.0,0.0,396.0,2.93,629.0,3.08,alt2many
7,10,0.243,66.0,1.0,0.0,144.0,2.18,605.0,2.62,alt2many
16,21,0.264,147.0,0.961,0.0,452.0,2.95,730.0,3.58,alt2many
5,7,0.303,39.0,1.0,0.0,132.0,3.38,566.0,3.7,alt2many
9,14,0.306,189.0,0.829,0.0,562.0,2.46,884.0,3.13,alt2many
13,18,0.326,51.0,1.0,0.0,204.0,4.0,332.0,2.99,alt2many
4,6,0.366,261.0,0.989,0.0,654.0,2.25,663.0,2.51,alt2many
10,15,0.371,72.0,0.585,0.0,286.0,2.33,717.0,3.41,alt2many
24,32,0.411,885.0,0.993,0.0,1096.0,1.23,1215.0,1.31,alt2many
