c_id,a_id,d_km,ovl_s,ovl_f,gap_s,c_gain_m,c_rate,c_n,a_gain_m,a_rate,a_n,mode
12,17,0.0,27.0,1.0,0.0,64.0,2.37,1,232.0,3.68,1,strict
21,29,0.092,240.0,1.0,0.0,458.0,1.91,7,641.0,2.18,1,strict
3,4,0.094,168.0,0.949,0.0,369.0,2.08,4,444.0,2.28,1,strict
22,30,0.125,303.0,0.783,0.0,938.0,2.23,6,965.0,2.49,1,strict
6,9,0.148,195.0,1.0,0.0,751.0,3.17,3,733.0,3.76,1,strict
19,28,0.205,465.0,0.896,0.0,916.0,1.76,5,991.0,1.89,2,strict
8,11,0.221,54.0,0.439,0.0,192.0,1.42,3,311.0,2.53,1,strict
14,19,0.225,135.0,1.0,0.0,396.0,2.93,6,629.0,3.08,1,strict
7,10,0.243,66.0,1.0,0.0,144.0,2.18,3,605.0,2.62,1,strict
16,21,0.264,147.0,0.961,0.0,452.0,2.95,5,730.0,3.58,1,strict
5,7,0.303,39.0,1.0,0.0,132.0,3.38,2,566.0,3.7,1,strict
9,14,0.306,189.0,0.829,0.0,562.0,2.46,6,884.0,3.13,1,strict
13,18,0.326,51.0,1.0,0.0,204.0,4.0,2,332.0,2.99,1,strict
4,6,0.366,261.0,0.989,0.0,654.0,2.25,8,663.0,2.51,1,strict
10,15,0.371,72.0,0.585,0.0,286.0,2.33,3,717.0,3.41,1,strict
24,32,0.411,885.0,0.993,0.0,1096.0,1.23,24,1215.0,1.31,4,strict
11,16,0.423,87.0,1.0,0.0,362.0,4.16,4,771.0,3.72,1,strict
17,23,0.434,54.0,1.0,0.0,180.0,3.33,2,775.0,3.4,1,strict
2,3,0.45,93.0,0.969,0.0,259.0,2.7,3,439.0,2.48,1,strict
15,20,0.46,45.0,1.0,0.0,116.0,2.58,2,359.0,2.99,1,strict
23,31,0.495,213.0,0.986,0.0,495.0,2.29,6,709.0,2.6,1,strict
18,26,0.688,183.0,0.871,0.0,458.0,2.18,7,858.0,2.7,1,strict
1,2,0.715,402.0,0.817,0.0,999.0,1.89,11,1003.0,2.04,1,strict
12,17,0.0,27.0,1.0,0.0,64.0,2.37,1,232.0,3.68,1,many2one
21,29,0.092,240.0,1.0,0.0,458.0,1.91,7,641.0,2.18,1,many2one
3,4,0.094,168.0,0.949,0.0,369.0,2.08,4,444.0,2.28,1,many2one
22,30,0.125,303.0,0.783,0.0,938.0,2.23,6,965.0,2.49,1,many2one
6,9,0.148,195.0,1.0,0.0,751.0,3.17,3,733.0,3.76,1,many2one
19,28,0.205,465.0,0.896,0.0,916.0,1.76,5,991.0,1.89,2,many2one
8,11,0.221,54.0,0.439,0.0,192.0,1.42,3,311.0,2.53,1,many2one
14,19,0.225,135.0,1.0,0.0,396.0,2.93,6,629.0,3.08,1,many2one
7,10,0.243,66.0,1.0,0.0,144.0,2.18,3,605.0,2.62,1,many2one
16,21,0.264,147.0,0.961,0.0,452.0,2.95,5,730.0,3.58,1,many2one
5,7,0.303,39.0,1.0,0.0,132.0,3.38,2,566.0,3.7,1,many2one
9,14,0.306,189.0,0.829,0.0,562.0,2.46,6,884.0,3.13,1,many2one
13,18,0.326,51.0,1.0,0.0,204.0,4.0,2,332.0,2.99,1,many2one
4,6,0.366,261.0,0.989,0.0,654.0,2.25,8,663.0,2.51,1,many2one
10,15,0.371,72.0,0.585,0.0,286.0,2.33,3,717.0,3.41,1,many2one
24,32,0.411,885.0,0.993,0.0,1096.0,1.23,24,1215.0,1.31,4,many2one
11,16,0.423,87.0,1.0,0.0,362.0,4.16,4,771.0,3.72,1,many2one
